CommonName,BotanicalName,Family,PlantType,MatureSize,SunExposure,SoilType,SoilpH,BloomTime,FlowerColor,HardinessZones,NativeArea,Toxicity,NativeAreas,CommonNames,Commonname,Size,HardinessZone,NativeRange,FamilyName,ScientificName,FlowerColors,BotanicalNames,Botanicaname,Planttype,Maturesize,Sunexposure,Soiltype,Bloomtime,Flowercolor,Hardinesszones,Nativearea,BloomColor,USDAHardinessZone,USDAHardinessZones,Toxicity:,,"Mizunakyona,shuicai","5to7incheshigh,10to15incheswide","Well-drained,richsoil",Spring(nottypicallygrownforflowers),4to9,Botanicalname,GrowingTime,Commonnames,Phyllostachysaurea,LightExposure,GrowingZones,CommonName:,BotanicalName:,Family:,PlantType:,Size:,SunExposure:,SoilType:,SoilpH:,BloomTime:,HardinessZones:,NativeArea:,Dracaenatrifasciata(formerlySansevieriatrifasciata),"Evergreen,perennial",Shadetopartialsun,Slightlyacidictoslightlyalkaline,White,WestAfrica(tropical),BotaicalName,SoilNeeds,PlantTypes,Nativerange,BontanicalName,Soilp,Toxicty,otanicalName,NativeAreaEastern,GrowingMedia,LeafColor,ParrotTulip,"5inchesacross,15-20inchstems","Chalky,loamy,andsandysoil",Spring,4-7,PlantFamily,WaterpH,BoomTime,WaterType,Soil,PlantSize,USDAhardinesszone,SunType,Zones,BloomTIme,Parthenocissusquinquefolia,"Perennial,Vine","Full,Partial,Shade",Neutraltoacidic(5.1to7.3),Greenishwhite,EasternandCentralUnitedStates,USDAPlantHardinessZones,SoilpHN,Flower,Flower(Bract)Color,BotanialName,url,Water
"Rainbow bitterroot, Rainbow Lewisia, Siskiyou Lewisia, cliff maids",Lewisia cotyledon 'Rainbow',Null,Evergreen  perennial,"8 inches tall (when in bloom), with a greater spread",Partial sun to full sun,"Average fertility, excellent drainage",Acidic to  neutral,"April, May, and June","Salmon, white, orange, pink, rose, or yellow",5 to 8,"Several western states of the U.S., and British Columbia in Canada",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/lewisia-plant-profile-4125688,Null
Vanda orchid,Vanda spp.,Orchidaceae,Herbaceous perennial,1–3 ft. tall,"Part bright sunlight, part shade","Soilless growing medium, such as peat moss or bark",Slightly acidic,"Cyclical, every few months","Pink, red, yellow, orange, blue, purple, white",10-11 (USDA),Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-vanda-orchids-1902867,Vandas require a great deal of water. In periods of high temperatures they might need to be watered twice a day. Water roughly once a week during winter dormancy. Keep the container's medium consistently moist but not soggy during the growing season. 
'Sea Green' Juniper,Juniperus × pfitzeriana 'Sea Green',Cupressaceae,Coniferous shrub,"4-6 ft. tall, 6-8 ft. wide",Full sun,Adaptable,6.0 to 7.0,Null,Null,4-9 (USDA),None (Cultivated),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/sea-green-juniper-care-guide-6375062,"The easiest way to ensure a sea green juniper fails to thrive is to not give it enough water as its establishing itself. Once the shrub matures, it is pretty hardy in most growing regions, besides the driest areas and during the worst droughts. Until that point in time, the most important care that can be given to a sea green juniper is watering."
"Stone pine, umbrella pine, Italian stone pine, parasol pine",Pinus pinea,Pinaceae,Tree,"40-60 ft. tall, 20-40 ft. wide",Full,Well-drained,"Acidic, alkaline",Null,Null,8-10 (USDA),Mediterranean,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/italian-stone-pine-growing-tips-3269335,"This is a drought-tolerant tree once established, but in the first growing seasons make sure to give it adequate watering to help root establishment. This species is native to dry Mediterranean regions, so the best environment will mimic those conditions."
Null,Celtis laevigata var. reticulata,Cannabaceae,"Broadleaf, deciduous tree",20 to 30 feet; occasionally taller,Full sun to partial shade,Well-drained,Neutral to alkaline,Null,Null,4 to 10 (USDA),"The densest populations are in Kansas, Oklahoma, Texas, New Mexico, and Arizona.",Null,Null,"Netleaf hackberry, acibuche, canyon hackberry, Douglas hackberry, palo blanco, sugar hackberry, Texas sugarberry, western hackberry",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/netleaf-hackberry-growing-guide-5204259,"Netleaf hackberry is drought-tolerant once established. For best performance, during periods of extreme drought, water deeply every other week."
Cherry tomato,Solanum lycopersicum var. cerasiforme,Solanaceae,"Annual, fruit",Null,Full sun,"Loamy, well-drained",Acidic (6.0 to 6.8),Summer,Null,2–11 (USDA),South America,"Toxic to people, Toxic to pets",Null,Null,Null,"4–8 ft. tall, 1–3 ft. wide",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-and-caring-for-cherry-tomatoes-5078331,"Tomatoes must be watered deeply and regularly. At no time should you let the soil dry out. During the time of fruit development, keeping the soil evenly moist helps to prevent blossom end rot. On the other hand, overwatering can cause the tomatoes to split. Drip irrigation is best, as overhead watering can lead to the spread of tomato diseases, such as blight."
Lavender,Lavandula spp.,Lamiaceae,Herbaceous perennial,"2–3 ft. tall, 2–4 ft. wide",Full sun,"Dry, well-draining",Alkaline,Summer,Purple,"5a–9a, USDA",Null,"Toxic to dogs, toxic to cats",Europe,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-lavender-1402779,"Lavender is a resilient plant that is extremely drought-tolerant once established. When first starting your lavender plants, keep them regularly watered during their first growing season. After that, they can handle extended periods of drought—in fact, too much water can lead to fungal disease and root rot."
"Crookneck squash, Summer squash, Yellow squash",Cucurbita pepo,Null,"Vegetable, annual","2 feet tall, 3 to 4 feet wide",Full sun,"Loamy, well-drained",5.8 to 6.8,Summer,Yellow,Null,"North America, Central America, South America",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3 - 10 (USDA),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/yellow-squash-plant-profile-5185163,"Crookneck squash plants like to stay moist, but not soggy. If rainfall is lacking, water deeply with 1 to 2 inches of water per week. Avoid getting water on the foliage, which makes it vulnerable to diseases and attractive to pests. Water early in the day so any damp foliage can dry out before dark. This also helps the roots absorb the water instead of losing it to evaporation. Plants grown in containers typically need more frequent watering than those in the ground."
"Lentil plant, Adas, Mercimek, Messer, heramame, masoor",Lens culinaris,Fabaceae,"Fruit, vegetable",12 to 20 in. tall,Full sun,"Well-drained, sandy, loamy","Acidic, neutral, alkaline",Spring,"White, blue, purple",5-11 (USDA),Mediterranean,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-lentil-plants-5075989,"Upon planting, water well without making the soil soggy. Give plants about 1 inch of water per week. At least 10 inches of annual rainfall is needed. If weather conditions become especially dry, lentil plants are drought tolerant. However, the plants may die if the soil becomes waterlogged. Stop watering when pods begin to dry."
"Speedwell, Bird’s Eye, Gypsyweed",Veronica,Plantaginaceae,"Perennial, Annual","Less than 1/2 in. to 4 ft. tall, 8 in. to 2 ft. wide","Full, partial","Loamy, Sandy, Clay, Well-drained","Acidic, Neutral, Alkaline","Spring, Summer, Fall","Pink, Blue, Purple, White",3-9 (USDA),"Europe, Asia",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/veronica-plant-2153169,"Veronica plants are hardy plants and are drought-tolerant once established. They do best when given about 1 inch of water per week. During very dry, hot periods, they may need to be watered more often. Just be sure the soil drains and does not stay wet.  "
Pumpkin,Curbita spp.,Cucurbitaceae,"Annual, fruit",Null,Full sun,"Moist, loamy",Acidic,Summer,Null,3-9 (USDA),North America,Null,Null,Null,Null,"9-18 in. tall, 20-30 ft. long, 10-15 ft. spread",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-pumpkins-1403469,"Having success when growing pumpkins is largely about giving them plenty of food and water, as both are essential for harvesting large fruit. Use caution around the growing vines during waterings, as they are surprisingly delicate."
Lenten rose,Helleborus x hybridus,Ranunculaceae,"Evergreen, perennial",12 to 18 inches tall and wide,Partial,"Moist, well-drained, loamy",Slightly acidic to alkaline (6.5–8),Late winter to early spring,White to pink to light rose-purple,4–9 (USDA),Europe,Toxic to humans and animals,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/lenten-rose-plants-2132555,"Hellebores prefer evenly moist but not constantly wet soil; soggy soil can invite disease. Provide enough water to keep the soil moist during prolonged periods of hot and dry weather but once established, Lenten rose can tolerate dry conditions. You can expect that new plants will need about an inch of water per week if no rain is in the forecast."
"Anise Hyssop, Agastache, Licorice Mint, Hummingbird Mint, blue giant hyssop, fragrant giant hyssop, licorice plant, lavender giant hyssop",Agastache foeniculum,Null,Native herbaceous perennial,"2 - 4 ft. tall, 1 - 3 ft. wide",Full sun,"Fertile Chalk, Loam, Sand (not heavy clay, which doesn't drain well and causes winter problems)",Neutral,Mid-summer to fall,"Pink to creamy white, powder blue to red-violet (most commonly blue to lavender purple)","3-8, USDA",North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/anise-hyssop-plant-profile-5118429,"Water newly planted Anise Hyssop weekly, if there is no rainfall, for the first four weeks. Water slowly and deeply, welcoming deep, spreading roots. Once plants are established, cease watering. Being drought tolerant, they are very easy to grow and care for."
Cauliflower,Brassica oleracea (Botrytis group),Null,"Biennial, grown as an annual","12-30 in. tall, 12-24 in. wide",Full sun,"Rich, well-draining",Neutral (6.5 to 7.5) ,"Spring, fall","White, orange, purple, green",2-11 (USDA),Europe,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-cauliflower-1403494,"Cauliflower needs consistent moisture and plenty of it. Without sufficient water, the heads turn bitter. Provide at least 1 to 2 inches of water per week, and make sure it is soaking 6 to 8 inches into the soil. Leaving the soil dry in hot weather will cause the buds to open slightly, making the heads ""ricey"" rather than forming tight curds."
"Jackman's clematis, Jackman clematis, Jackman virgin's bower",Clematis 'Jackmanii',Ranunculaceae,Vine,7-15 ft. long,"Full, partial",Moist but well-drained,Neutral,Summer,"Blue, purple",4-8 (USDA),"Cultivar, no native range",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/jackmans-clematis-vine-4125599,Do not let the soil dry out completely at any point during the period of active growth for the plant. It very much prefers consistent moisture.
Mad pupper,"Tillandsia Bergeri, Tillandsia Aeranthos Bergeri",Null,"Succulent, perennial",Up to 10 in. tall,"Full sun, partial shade",N/A,N/A,Summer,Purple,"9 - 11, USA",South America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/tillandsia-aeranthos-bergeri-plant-care-5082023,"Under and overwatering are common problems with Tillandsia species. Too little and the foliage can become dry, curled and brown. Too much and root rot can kill off the plant."
"Mexican petunia, Mexican bluebell, Britton's petunia ",Ruellia brittoniana  or Ruellia simplex,Acanthaceae,"Perennial, rhizome"," 1-4 ft. tall, 1-3 ft. long, 1-3 ft. wide","Full, partial","Loamy, sandy, moist but well-drained","Acidic, neutral","Summer, fall",Purple,"8-11, USDA","North America, South America, Caribbean",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/mexican-petunias-growing-guide-5198750,"Mexican petunias are resilient when it comes to water intake, as they can survive both droughts and floods.1 During the growing season, it is best to keep the soil evenly moist, watering only once soil begins to dry out. For the winter months, reduce watering until the soil is dry. "
"Blue rug juniper, creeping juniper, carpet juniper",Juniperus horizontalis 'Wiltonii',Cupressaceae,"Evergreen shrub, groundcover","3-6 in. tall, 6-8 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline",Null,Null,3-9 (USDA),North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/blue-rug-juniper-plants-2132212,"Until a blue rug juniper plant matures, it's necessary to keep the soil evenly moist (but not soggy). After becoming established, it prefers a moderate amount of soil moisture and can tolerate some drought. However, soil that's too wet can kill the plant. So provide supplemental water to a mature plant only in extended dry spells or drought."
